hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
5,33,00040000,特急,新宿,１,05:33,2025-08-17T05:33:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-17T05:33:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-17T05:35:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-17T05:37:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-17T05:39:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-17T05:41:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-17T05:43:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-17T05:46:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-17T05:52:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-17T05:55:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-17T05:59:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-17T06:01:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-17T06:06:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-17T06:11:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-17T06:17:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-17T06:20:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-17T06:25:00+09:00""}]"
5,33,0004006e,特急,新宿,１,05:33,2025-08-18T05:33:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-18T05:33:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-18T05:35:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-18T05:37:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-18T05:39:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-18T05:41:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-18T05:43:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-18T05:46:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-18T05:52:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-18T05:55:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-18T05:59:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-18T06:01:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-18T06:06:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-18T06:11:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-18T06:16:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-18T06:19:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""新宿"", ""time"": ""2025-08-18T06:23:00+09:00""}]"
5,57,0004006f,特急,新宿,１,05:57,2025-08-18T05:57:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-18T05:57:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-18T05:59:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-18T06:01:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-18T06:03:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-18T06:04:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-18T06:06:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-18T06:12:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-18T06:18:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-18T06:22:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-18T06:25:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-18T06:28:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-18T06:34:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-18T06:41:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-18T06:49:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-18T06:51:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""新宿"", ""time"": ""2025-08-18T06:56:00+09:00""}]"
6,0,00040001,特急,新宿,１,06:00,2025-08-17T06:00:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-17T06:00:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-17T06:03:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-17T06:04:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-17T06:06:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-17T06:08:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-17T06:10:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-17T06:16:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-17T06:22:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-17T06:25:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-17T06:28:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-17T06:31:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-17T06:37:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-17T06:42:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-17T06:46:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-17T06:49:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-17T06:54:00+09:00""}]"
6,30,000400db,京王ライナー,新宿,２,06:30,2025-08-18T06:30:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-18T06:30:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-18T06:33:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-18T06:37:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-18T06:43:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-18T06:49:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-18T06:53:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-18T06:56:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-18T06:59:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-18T07:18:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-18T07:25:00+09:00""}]"
6,32,00040070,特急,新宿,１,06:32,2025-08-18T06:32:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-18T06:32:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-18T06:36:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-18T06:38:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-18T06:39:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-18T06:41:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-18T06:43:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-18T06:47:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-18T06:53:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-18T06:57:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-18T07:01:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-18T07:04:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-18T07:11:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-18T07:19:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-18T07:27:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-18T07:30:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""新宿"", ""time"": ""2025-08-18T07:36:00+09:00""}]"
6,44,00040002,特急,新宿,１,06:44,2025-08-17T06:44:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-17T06:44:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-17T06:47:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-17T06:48:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-17T06:50:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-17T06:52:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-17T06:54:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-17T06:57:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-17T07:03:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-17T07:07:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-17T07:10:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-17T07:12:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-17T07:21:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-17T07:27:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-17T07:34:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-17T07:37:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-17T07:43:00+09:00""}]"
7,16,00040003,特急,新宿,１,07:16,2025-08-17T07:16:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-17T07:16:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-17T07:19:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-17T07:21:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-17T07:23:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-17T07:24:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-17T07:26:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-17T07:30:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-17T07:36:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-17T07:39:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-17T07:42:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-17T07:45:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-17T07:51:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-17T07:58:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-17T08:04:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-17T08:07:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-17T08:13:00+09:00""}]"
7,20,00040071,特急,新宿,１,07:20,2025-08-18T07:20:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-18T07:20:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-18T07:23:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-18T07:25:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-18T07:27:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-18T07:29:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-18T07:31:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-18T07:34:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""高幡不動"", ""time"": ""2025-08-18T07:40:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-18T07:44:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""分倍河原"", ""time"": ""2025-08-18T07:47:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""府中"", ""time"": ""2025-08-18T07:50:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""調布"", ""time"": ""2025-08-18T07:58:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""千歳烏山"", ""time"": ""2025-08-18T08:07:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""明大前"", ""time"": ""2025-08-18T08:19:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""笹塚"", ""time"": ""2025-08-18T08:22:00+09:00""}, {""station"": null, ""time"": null}, {""station"": ""新宿"", ""time"": ""2025-08-18T08:27:00+09:00""}]"
7,45,00040004,特急,新宿,１,07:45,2025-08-17T07:45:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-08-17T07:45:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-08-17T07:48:00+09:00""}, {""station"": ""狭間"", ""time"": ""2025-08-17T07:50:00+09:00""}, {""station"": ""めじろ台"", ""time"": ""2025-08-17T07:52:00+09:00""}, {""station"": ""山田"", ""time"": ""2025-08-17T07:53:00+09:00""}, {""station"": ""京王片倉"", ""time"": ""2025-08-17T07:55:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-17T08:00:00+09:00""}, {""station"": ""高幡不動"", ""time"": ""2025-08-17T08:06:00+09:00""}, {""station"": ""聖蹟桜ヶ丘"", ""time"": ""2025-08-17T08:10:00+09:00""}, {""station"": ""分倍河原"", ""time"": ""2025-08-17T08:13:00+09:00""}, {""station"": ""府中"", ""time"": ""2025-08-17T08:15:00+09:00""}, {""station"": ""調布"", ""time"": ""2025-08-17T08:22:00+09:00""}, {""station"": ""千歳烏山"", ""time"": ""2025-08-17T08:28:00+09:00""}, {""station"": ""明大前"", ""time"": ""2025-08-17T08:35:00+09:00""}, {""station"": ""笹塚"", ""time"": ""2025-08-17T08:38:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-08-17T08:43:00+09:00""}]"
