hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
0,1,80020066,特急,京王八王子〔高幡不動から各駅停車〕,３,00:01,2025-08-31T00:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T00:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T00:43:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T00:46:00+09:00""}]"
0,18,80020067,特急,京王八王子〔高幡不動から各駅停車〕,３,00:18,2025-08-31T00:18:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-31T00:18:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-31T00:59:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-31T01:02:00+09:00""}]"
5,29,80020000,特急,京王八王子,３,05:29,2025-08-30T05:29:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-30T05:29:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-30T06:07:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-30T06:10:00+09:00""}]"
6,30,80020002,特急,京王八王子,３,06:30,2025-08-30T06:30:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-30T06:30:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-30T07:09:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-30T07:11:00+09:00""}]"
6,50,80020004,特急,京王八王子,３,06:50,2025-08-30T06:50:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-30T06:50:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-30T07:29:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-30T07:32:00+09:00""}]"
7,0,80020006,特急,京王八王子,３,07:00,2025-08-30T07:00:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-30T07:00:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-30T07:39:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-30T07:41:00+09:00""}]"
7,19,80020008,特急,京王八王子,３,07:19,2025-08-30T07:19:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-30T07:19:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-30T07:59:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-30T08:01:00+09:00""}]"
7,39,8002000a,特急,京王八王子,３,07:39,2025-08-30T07:39:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-30T07:39:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-30T08:20:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-30T08:23:00+09:00""}]"
7,47,8002000c,特急,京王八王子,３,07:47,2025-08-30T07:47:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-30T07:47:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-30T08:31:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-30T08:33:00+09:00""}]"
8,1,8002000d,特急,京王八王子,３,08:01,2025-08-30T08:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-08-30T08:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-08-30T08:43:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-08-30T08:45:00+09:00""}]"
